ID,SourceTable,SourceXMLColumn,SourceNodePath,SourceQueryColumn,DestTable,DestColumn,DestColumnType,nodeAlias,colNodeAlias,CreateDT,UpdateDT,enabled,isPlainColumn
1,dbo.ani_item,XMLSource,xocs:doc/xocs:meta,xocs:pui/text(),stage.publication,ScopusPublicationID,int,nMeta,nMeta,2015-10-15 10:40:53.797,NULL,1,0
2,dbo.ani_item,XMLSource,xocs:doc/xocs:meta,xocs:doi/text(),stage.publication,DOI,nvarchar(30),nMeta,nMeta,2015-10-15 10:40:53.797,NULL,1,0
3,dbo.ani_item,XMLSource,xocs:doc/xocs:meta,xocs:pub-year/text(),stage.publication,PublicationYear,nvarchar(10),nMeta,nMeta,2015-10-15 10:40:53.797,NULL,1,0
4,dbo.ani_item,XMLSource,xocs:doc/xocs:meta,xocs:issn/text(),stage.publication,ISSN,nvarchar(10),nMeta,nMeta,2015-10-15 10:40:53.797,NULL,1,0
5,dbo.ani_item,XMLSource,xocs:doc/xocs:meta,xocs:eid/text(),stage.publication,ScopusElectronicIdentifier,nvarchar(25),nMeta,nMeta,2015-10-15 10:40:53.797,NULL,1,0
6,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/abstracts/abstract/ce:para,.,stage.pubabstract,Abstract,nvarchar(max),nAbstract,nAbstract,2015-10-15 10:40:53.797,NULL,1,0
7,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/abstracts/abstract/ce:para,xocs:doc/xocs:meta/xocs:eid/text(),stage.pubabstract,ScopusElectronicIdentifier,nvarchar(25),nAbstract,XMLSource,2015-10-15 10:40:53.797,NULL,1,0
8,dbo.ani_item,XMLSource,xocs:doc/xocs:meta/cto:doctype,text(),stage.pubdoctype,PublicationType,nchar(2),nDoc,nDoc,2015-10-15 10:40:53.797,NULL,1,0
9,dbo.ani_item,XMLSource,xocs:doc/xocs:meta/cto:doctype,xocs:doc/xocs:meta/xocs:eid/text(),stage.pubdoctype,ScopusElectronicIdentifier,nvarchar(25),nDoc,XMLSource,2015-10-15 10:40:53.797,NULL,1,0
10,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/source,@type,stage.pubsource,PublishedIn,nchar(1),nSource,nSource,2015-10-15 10:40:53.797,NULL,1,0
11,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/source,@srcid,stage.pubsource,ScopusSourceID,bigint,nSource,nSource,2015-10-15 10:40:53.797,NULL,1,0
12,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/source,sourcetitle/.,stage.pubsource,JournalOrCollectionName,nvarchar(max),nSource,nSource,2015-10-15 10:40:53.797,NULL,1,0
13,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/source,xocs:doc/xocs:meta/xocs:eid/text(),stage.pubsource,ScopusElectronicIdentifier,nvarchar(25),nSource,XMLSource,2015-10-15 10:40:53.797,NULL,1,0
14,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/enhancement/classificationgroup/classifications[@type="ASJC"]/classification,xocs:doc/xocs:item/item/bibrecord/head/source/@srcid,stage.classification,ScopusSourceID,bigint,nClassification,XMLSource,2015-10-15 10:40:53.797,NULL,1,0
15,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/enhancement/classificationgroup/classifications[@type="ASJC"]/classification,text(),stage.classification,AllScienceJournalClassification,nvarchar(50),nClassification,nClassification,2015-10-15 10:40:53.797,NULL,1,0
16,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/enhancement/classificationgroup/classifications/classification,../@type,stage.classification,ClassificationsType,nvarchar(50),nClassification,nClassification,2015-10-15 10:40:53.797,NULL,0,0
17,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/enhancement/classificationgroup/classifications[@type="ASJC"]/classification,xocs:doc/xocs:meta/xocs:eid/text(),stage.classification,ScopusElectronicIdentifier,nvarchar(25),nClassification,XMLSource,2015-10-15 10:40:53.797,NULL,1,0
18,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/author-group/affiliation,@afid,stage.affiliation,ScopusAffiliationID,bigint,nAffiliation,nAffiliation,2015-10-15 10:40:53.797,NULL,0,0
19,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/author-group/affiliation,@country,stage.affiliation,AffiliationCountry,nchar(3),nAffiliation,nAffiliation,2015-10-15 10:40:53.797,NULL,0,0
20,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/author-group/affiliation,@dptid,stage.affiliation,ScopusDepartmentID,bigint,nAffiliation,nAffiliation,2015-10-15 10:40:53.797,NULL,0,0
21,dbo.ani_item,XMLSource,xocs:doc/xocs:item/item/bibrecord/head/author-group/affiliation,city-group/text(),stage.affiliation,CityGroup,nvarchar(500),nAffiliation,nAffiliation,2015-10-15 10:40:53.797,NULL,0,0
